neighborhood	ID	page	old_streetname	old_number	old_letter	new_number	new_letter	new_streetname	PDF Page	Remarks
Rothes Quartier	302	3	Zwischen d. Thoren	183		5		Christoffelplatz	10	
Rothes Quartier	303	3	Zwischen d. Thoren	183		5	a	Christoffelplatz	10	
Rothes Quartier	304	3	Christoffelgasse	184	a	6		Bankgässchen	10	
Rothes Quartier	305	3	Christoffelgasse	184	b	8		Bankgässchen	10	
Rothes Quartier	306	3	Christoffelgasse	186	e	6		Christoffelgasse	10	
Rothes Quartier	307	3	Christoffelgasse	186	e	22		Bundesgasse	10	
Rothes Quartier	308	3	Christoffelgasse	186	f	6	a	Christoffelgasse	10	
Rothes Quartier	309	3	Christoffelgasse	186	f	1		Bankgässchen	10	
Rothes Quartier	310	3	Bundesgasse	185	a	26		Bundesgasse	10	
Rothes Quartier	311	3	Bundesgasse	185	b	28		Bundesgasse	10	
Rothes Quartier	312	3	Bundesgasse	185	c	30		Bundesgasse	10	
Rothes Quartier	313	3	Bundesgasse	185	c	13		Schwanengasse	10	
Rothes Quartier	314	3	Schwanengasse	185	d	11		Schwanengasse	10	
Rothes Quartier	315	3	Bundesgasse	187	a	32		Bundesgasse	10	
Rothes Quartier	316	3	Bundesgasse	187	a	1		Wallgasse	10	
Rothes Quartier	317	3	Bundesgasse	187	b	34		Bundesgasse	10	
Rothes Quartier	318	3	Bundesgasse	187	b	3		Wallgasse	10	
Rothes Quartier	319	3	Bundesgasse	187	c	36		Bundesgasse	10	
Rothes Quartier	320	3	Bundesgasse	187	c	5		Wallgasse	10	
Rothes Quartier	321	3	Bundesgasse	187	d	38		Bundesgasse	10	
Rothes Quartier	322	3	Bundesgasse	187	d	7		Wallgasse	10	
Rothes Quartier	323	3	Bundesgasse	187	e	40		Bundesgasse	10	
Rothes Quartier	324	3	Bundesgasse	187	e	9		Wallgasse	10	
Rothes Quartier	325	3	Wallgasse	188	a	8		Wallgasse	10	
Rothes Quartier	326	3	Wallgasse	188	b	6		Wallgasse	10	
Rothes Quartier	327	3	Wallgasse	188	c	4		Wallgasse	10	
Rothes Quartier	328	4	Hirschengraben	189	a	9		Hirschengraben	11	
Rothes Quartier	329	4	Hirschengraben	189	b	7		Hirschengraben	11	
Rothes Quartier	330	4	Hirschengraben	189	c	5		Hirschengraben	11	
Rothes Quartier	331	4	Hirschengraben	189	d	3		Hirschengraben	11	
Rothes Quartier	332	4	Schwanengasse	190	a	10		Schwanengasse	11	
Rothes Quartier	333	4	Schwanengasse	190	a	2		Wallgasse	11	
Rothes Quartier	334	4	Schwanengasse	190	b	8		Schwanengasse	11	
Rothes Quartier	335	4	Schwanengasse	190	c	6		Schwanengasse	11	
Rothes Quartier	336	4	Schwanengasse	190	d	4		Schwanengasse	11	
Rothes Quartier	337	4	Schwanengasse	190	e	2		Schwanengasse	11	
Rothes Quartier	338	4	Schwanengasse	190	e	13		Christoffelplatz	11	
Rothes Quartier	339	4	Schauplatzgasse	191		34		Schauplatzgasse	11	
Rothes Quartier	340	4	Schauplatzgasse	192		32		Schauplatzgasse	11	
Rothes Quartier	341	4	Schauplatzgasse	193		32	a	Schauplatzgasse	11	
Rothes Quartier	342	4	Schauplatzgasse	194		30		Schauplatzgasse	11	
Rothes Quartier	343	4	Schauplatzgasse	195		28		Schauplatzgasse	11	
Rothes Quartier	344	4	Schauplatzgasse	196		26		Schauplatzgasse	11	
Rothes Quartier	345	4	Schauplatzgasse	197		22		Schauplatzgasse	11	
Rothes Quartier	346	4	Schauplatzgasse	198		20		Schauplatzgasse	11	
Rothes Quartier	347	4	Schauplatzgasse	198		4		Storchengchn.	11	
Rothes Quartier	348	4	Schauplatzgasse	199	a	18		Schauplatzgasse	11	
Rothes Quartier	349	4	Schauplatzgasse	199	b	6		Storchengchn.	11	Doubt in record
Rothes Quartier	350	4	Schauplatzgasse	200	a	16		Schauplatzgasse	11	
Rothes Quartier	351	4	Schauplatzgasse	200	a	7		Storchengchn.	11	
Rothes Quartier	352	4	Schauplatzgasse	200	b	14		Schauplatzgasse	11	
Rothes Quartier	353	4	Schauplatzgasse	200	c	6		Schauplatzgasse	11	
Rothes Quartier	354	4	Schauplatzgasse	200	d	4		Schauplatzgasse	11	
Rothes Quartier	355	4	Schauplatzgasse	206		3		Schauplatzgasse	11	
Rothes Quartier	356	4	Schauplatzgasse	207		5		Schauplatzgasse	11	
Rothes Quartier	357	4	Schauplatzgasse	208		7		Schauplatzgasse	11	
Rothes Quartier	358	4	Schauplatzgasse	209	a	9		Schauplatzgasse	11	
Rothes Quartier	359	4	Schauplatzgasse	209	b	9		Schauplatzgasse	11	
Rothes Quartier	360	4	Schauplatzgasse	210		11		Schauplatzgasse	11	
Rothes Quartier	361	4	Schauplatzgasse	211	a	13		Schauplatzgasse	11	
