Strasse vor 1882,Nummer vor 1882,Strasse,Nummer,Scan,ID,Status
Aarbergergasse,31a,Aarbergergasse,36,3012654,63,OK
Aarbergergasse,31b,Aarbergergasse,36a,3012654,64,Unbekannte Hausnummer
Aarbergergasse,32,Aarbergergasse,34,3012654,65,Unbekannte Hausnummer
Aarbergergasse,33a,Aarbergergasse,32,3012654,66,Unbekannte Hausnummer
Aarbergergasse,34a,Aarbergergasse,30,3012654,67,OK
Aarbergergasse,34b,Sternengässchen,4,3012654,68,Unbekannte Hausnummer
Aarbergergasse,34c,Speichergasse,27,3012654,69,OK
Aarbergergasse,35a,Aarbergergasse,28,3012654,70,Unbekannte Hausnummer
Aarbergergasse,35b,Speichergasse,25,3012654,71,Unbekannte Hausnummer
Aarbergergasse,35b,Sternengässchen,3,3012654,72,Unbekannte Hausnummer
Aarbergergasse,36a,Aarbergergasse,26,3012654,73,OK
Aarbergergasse,36b,Aarbergergasse,26a,3012654,74,Unbekannte Hausnummer
Aarbergergasse,37,Aarbergergasse,24,3012654,75,OK
Aarbergergasse,38,Aarbergergasse,22,3012654,76,Unbekannte Hausnummer
Aarbergergasse,39,Aarbergergasse,20,3012654,77,OK
Aarbergergasse,40,Aarbergergasse,18,3012654,78,OK
Aarbergergasse,41,Aarbergergasse,16,3012654,79,OK
Aarbergergasse,42,Aarbergergasse,14,3012654,80,OK
Aarbergergasse,43,Aarbergergasse,12,3012654,81,OK
Aarbergergasse,44a,Aarbergergasse,10,3012654,82,OK
Aarbergergasse,44b,Aarbergergasse,10a,3012654,83,Unbekannte Hausnummer
Aarbergergasse,45,Aarbergergasse,8,3012654,84,OK
Aarbergergasse,46,Aarbergergasse,6,3012654,85,OK
Aarbergergasse,47,Aarbergergasse,4,3012654,86,Unbekannte Hausnummer
Aarbergergasse,48,Aarbergergasse,2,3012654,87,Unbekannte Hausnummer
Aarbergergasse,48,Waisenhausplatz,26,3012654,88,OK
Aarbergergasse,49,Aarbergergasse,1,3012654,89,OK
Aarbergergasse,49,Waisenhausplatz,24,3012654,90,Unbekannte Hausnummer
Aarbergergasse,50,Aarbergergasse,3,3012654,91,OK
Aarbergergasse,51a,Aarbergergasse,5,3012654,92,OK
Aarbergergasse,51b,Aarbergergasse,5a,3012654,93,Unbekannte Hausnummer
Aarbergergasse,52,Aarbergergasse,7,3012654,94,Unbekannte Hausnummer
Aarbergergasse,53a,Aarbergergasse,9,3012654,95,Unbekannte Hausnummer
Aarbergergasse,53b,Aarbergergasse,9a,3012654,96,Unbekannte Hausnummer
Aarbergergasse,54,Aarbergergasse,11,3012654,97,Unbekannte Hausnummer
Aarbergergasse,55,Aarbergergasse,13,3012654,98,Unbekannte Hausnummer
Aarbergergasse,56a,Aarbergergasse,15,3012654,99,Unbekannte Hausnummer
Aarbergergasse,56b,Aarbergergasse,15a,3012655,100,Unbekannte Hausnummer
Aarbergergasse,57,Aarbergergasse,17,3012655,101,Unbekannte Hausnummer
Aarbergergasse,58,Aarbergergasse,19,3012655,102,OK
Aarbergergasse,59,Aarbergergasse,21,3012655,103,OK
Aarbergergasse,59,Aarbergergasse,21a,3012655,104,Unbekannte Hausnummer
Aarbergergasse,60,Aarbergergasse,23,3012655,105,Unbekannte Hausnummer
Aarbergergasse,61,Aarbergergasse,25,3012655,106,Unbekannte Hausnummer
Aarbergergasse,62a,Aarbergergasse,27,3012655,107,Unbekannte Hausnummer
Aarbergergasse,62b,Aarbergergasse,27a,3012655,108,Unbekannte Hausnummer
Aarbergergasse,63,Aarbergergasse,29,3012655,109,OK
Aarbergergasse,64,Aarbergergasse,31,3012655,110,Unbekannte Hausnummer
Aarbergergasse,65,Aarbergergasse,33,3012655,111,OK
Aarbergergasse,66a,Aarbergergasse,35,3012655,112,OK
Aarbergergasse,66b,Aarbergergasse,35a,3012655,113,Unbekannte Hausnummer
Aarbergergasse,66c,Aarbergergasse,35b,3012655,114,Unbekannte Hausnummer
Aarbergergasse,67,Aarbergergasse,37,3012655,115,Unbekannte Hausnummer
Aarbergergasse,67,Ryffligässchen,15,3012655,116,Unbekannte Hausnummer
Aarbergergasse,68,Aarbergergasse,39,3012655,117,Unbekannte Hausnummer
Aarbergergasse,68,Ryffligässchen,16,3012655,118,Unbekannte Hausnummer
Aarbergergasse,68b,Ryffligässchen,13,3012655,119,OK
Aarbergergasse,70a,Aarbergergasse,43,3012655,120,Unbekannte Hausnummer
Aarbergergasse,70b,Aarbergergasse,43a,3012655,121,Unbekannte Hausnummer
Aarbergergasse,71a,Aarbergergasse,45,3012655,122,Unbekannte Hausnummer
Aarbergergasse,71b,Aarbergergasse,45a,3012655,123,Unbekannte Hausnummer
Aarbergergasse,72a,Aarbergergasse,47,3012655,124,Unbekannte Hausnummer
Aarbergergasse,72b,Aarbergergasse,47a,3012655,125,Unbekannte Hausnummer
Aarbergergasse,73a,Aarbergergasse,49,3012655,126,Unbekannte Hausnummer
Aarbergergasse,73b,Aarbergergasse,49a,3012655,127,Unbekannte Hausnummer
Aarbergergasse,74a,Aarbergergasse,51,3012655,128,Unbekannte Hausnummer
Aarbergergasse,74b,Aarbergergasse,51a,3012655,129,Unbekannte Hausnummer
Aarbergergasse,75,Aarbergergasse,51a,3012655,130,Unbekannte Hausnummer
Aarbergergasse,76,Aarbergergasse,55,3012655,131,OK
Aarbergergasse,77,Aarbergergasse,55,3012655,132,OK
Aarbergergasse,78,Aarbergergasse,57,3012655,133,OK
Aarbergergasse,78,Inneres Bollwerk,7,3012655,134,Unbekannte Strasse
Inneres Bollwerk,79,Inneres Bollwerk,12,3012655,135,Unbekannte Strasse
Inneres Bollwerk,79,Aarbergergasse,59,3012655,136,Unbekannte Hausnummer
Inneres Bollwerk,80,Inneres Bollwerk,10,3012655,137,Unbekannte Strasse
Inneres Bollwerk,81,Inneres Bollwerk,8,3012655,138,Unbekannte Strasse
Inneres Bollwerk,82a,Inneres Bollwerk,6,3012655,139,Unbekannte Strasse
Inneres Bollwerk,82b,Inneres Bollwerk,2,3012655,140,Unbekannte Strasse
Inneres Bollwerk,82b,Neuengasse,42,3012655,141,Unbekannte Hausnummer
Inneres Bollwerk,83a,Inneres Bollwerk,5,3012655,142,Unbekannte Strasse
Inneres Bollwerk,83b,Inneres Bollwerk,3,3012655,143,Unbekannte Strasse
Inneres Bollwerk,83b,Neuengasse,38,3012655,144,OK
Inneres Bollwerk,84,Inneres Bollwerk,1,3012655,145,Unbekannte Strasse
Inneres Bollwerk,84,Neuengasse,40,3012655,146,OK
Neuengasse,85,Neuengasse,38,3012655,147,OK
Neuengasse,86,Neuengasse,36,3012655,148,OK
Neuengasse,87a,Neuengasse,30,3012655,149,OK
Neuengasse,87b,Neuengasse,32,3012655,150,Unbekannte Hausnummer
Neuengasse,87c,Neuengasse,28a,3012655,151,Unbekannte Hausnummer
Neuengasse,87c,Ryffligässchen,14,3012655,152,Unbekannte Hausnummer
Neuengasse,87d,Neuengasse,26,3012655,153,OK
Neuengasse,87d,Ryffligässchen,12,3012655,154,Unbekannte Hausnummer
Neuengasse,88a,Neuengasse,24,3012655,155,OK
Neuengasse,88a,Ryffligässchen,9,3012655,156,Unbekannte Hausnummer
Neuengasse,89,Neuengasse,22,3012655,157,Unbekannte Hausnummer
Neuengasse,90,Neuengasse,20,3012655,158,OK
Neuengasse,91,Neuengasse,18,3012655,159,Unbekannte Hausnummer
Neuengasse,92,Neuengasse,18,3012655,160,Unbekannte Hausnummer
Neuengasse,93,Neuengasse,16,3012655,161,Unbekannte Hausnummer
Neuengasse,94,Neuengasse,14,3012655,162,Unbekannte Hausnummer
Neuengasse,95,Neuengasse,12,3012655,163,Unbekannte Hausnummer
Neuengasse,96,Neuengasse,10,3012655,164,Unbekannte Hausnummer
Neuengasse,97,Neuengasse,8,3012655,165,OK
Neuengasse,98,Neuengasse,6,3012655,166,Unbekannte Hausnummer
Neuengasse,99,Neuengasse,4,3012655,167,Unbekannte Hausnummer
Neuengasse,100,Neuengasse,2,3012655,168,Unbekannte Hausnummer
Neuengasse,100,Waisenhausplatz,10,3012655,169,OK
Neuengasse,101,Neuengasse,1,3012655,170,OK
Neuengasse,101,Waisenhausplatz,8,3012655,171,OK
Neuengasse,102a,Neuengasse,3,3012655,172,OK
Neuengasse,102b,Neuengasse,5,3012655,173,OK
Neuengasse,103,Neuengasse,7,3012655,174,OK
Neuengasse,104,Neuengasse,7,3012655,175,OK
Neuengasse,105,Neuengasse,9,3012655,176,OK
Neuengasse,106,Neuengasse,9,3012655,177,OK
Neuengasse,107,Neuengasse,11,3012655,178,Unbekannte Hausnummer
Neuengasse,108,Neuengasse,13,3012655,179,Unbekannte Hausnummer
Neuengasse,109,Neuengasse,13,3012655,180,Unbekannte Hausnummer
Neuengasse,110,Neuengasse,15,3012655,181,OK
Neuengasse,111,Neuengasse,17,3012655,182,OK
Neuengasse,112,Neuengasse,19,3012655,183,Unbekannte Hausnummer
Neuengasse,113a,Neuengasse,21,3012655,184,OK
Neuengasse,113b,Neuengasse,23,3012655,185,OK
Neuengasse,113c,Neuengasse,5,3012655,186,OK
Neuengasse,114,Neuengasse,6,3012655,187,Unbekannte Hausnummer
Neuengasse,114,Ryffligässchen,6a,3012655,188,Unbekannte Hausnummer
Neuengasse,115a,Neuengasse,27,3012655,189,Unbekannte Hausnummer
Neuengasse,115a,Ryffligässchen,8,3012655,190,OK
Neuengasse,115b,Ryffligässchen,8a,3012655,191,Unbekannte Hausnummer
Neuengasse,116a,Neuengasse,25,3012655,192,OK
Neuengasse,116b,Neuengasse,27,3012655,193,Unbekannte Hausnummer
Neuengasse,116c,Neuengasse,29,3012655,194,Unbekannte Hausnummer
Neuengasse,117a,Neuengasse,31,3012655,195,Unbekannte Hausnummer
Neuengasse,117b,Neuengasse,31a,3012655,196,Unbekannte Hausnummer
Neuengasse,118,Neuengasse,33,3012655,197,Unbekannte Hausnummer
Neuengasse,119a,Neuengasse,35,3012655,198,Unbekannte Hausnummer
Neuengasse,119b,Neuengasse,35a,3012655,199,Unbekannte Hausnummer
Neuengasse,120a,Neuengasse,37,3012655,200,OK
Neuengasse,121a,Neuengasse,39,3012655,201,OK
Neuengasse,121a,Neuengasse,39a,3012655,202,Unbekannte Hausnummer
Neuengasse,121b,Neuengasse,41,3012655,203,OK
Neuengasse,122a,Neuengasse,43,3012655,204,OK
Neuengasse,122b,Neuengasse,45,3012655,205,OK
Äusseres Bollwerk,122c,Äusseres Bollwerk,11,3012655,206,Unbekannte Strasse
Äusseres Bollwerk,122c,Neuengasse,47,3012655,207,OK
Äusseres Bollwerk,122d,Äusseres Bollwerk,11a,3012655,208,Unbekannte Strasse
Äusseres Bollwerk,122e,Äusseres Bollwerk,9,3012655,209,Unbekannte Strasse
Äusseres Bollwerk,122f,Äusseres Bollwerk,5,3012655,210,Unbekannte Strasse
Äusseres Bollwerk,122g,Äusseres Bollwerk,11b,3012655,211,Unbekannte Strasse
Äusseres Bollwerk,123a,Äusseres Bollwerk,1,3012655,212,Unbekannte Strasse
Äusseres Bollwerk,123b,Äusseres Bollwerk,3,3012655,213,Unbekannte Strasse
Äusseres Bollwerk,123b,Spitalgasse,42,3012655,214,Unbekannte Hausnummer
Spitalgasse,124a,Spitalgasse,40,3012655,215,OK
Spitalgasse,124b,Äusseres Bollwerk,7,3012655,216,Unbekannte Strasse
Spitalgasse,125a,Spitalgasse,38,3012655,217,OK
Spitalgasse,125b,Spitalgasse,38a,3012655,218,Unbekannte Hausnummer
Spitalgasse,126a,Spitalgasse,36,3012655,219,OK
Spitalgasse,126b,Spitalgasse,36a,3012655,220,Unbekannte Hausnummer
Spitalgasse,127,Spitalgasse,34,3012655,221,OK
Spitalgasse,128,Spitalgasse,32,3012655,222,OK
Spitalgasse,129,Spitalgasse,30,3012655,223,OK
Spitalgasse,130,Spitalgasse,28,3012655,224,OK
Spitalgasse,131,Spitalgasse,26,3012655,225,OK
Spitalgasse,132,Spitalgasse,24,3012655,226,OK
Spitalgasse,133,Spitalgasse,22,3012655,227,OK
Spitalgasse,134,Spitalgasse,20,3012655,228,OK
Spitalgasse,135,Spitalgasse,18,3012655,229,OK
Spitalgasse,136a,Spitalgasse,16,3012655,230,OK
Spitalgasse,136b,Spitalgasse,16a,3012655,231,OK
Spitalgasse,137,Spitalgasse,14,3012655,232,OK
Spitalgasse,138,Spitalgasse,14,3012655,233,OK
Spitalgasse,139,Spitalgasse,12,3012655,234,Unbekannte Hausnummer
Spitalgasse,140,Spitalgasse,10,3012655,235,Unbekannte Hausnummer
Spitalgasse,141,Spitalgasse,10,3012655,236,Unbekannte Hausnummer
Spitalgasse,142,Spitalgasse,8,3012655,237,Unbekannte Hausnummer
Spitalgasse,143,Spitalgasse,6,3012655,238,Unbekannte Hausnummer
Spitalgasse,144,Spitalgasse,4,3012655,239,OK
Spitalgasse,145,Spitalgasse,4,3012655,240,OK
Spitalgasse,146,Spitalgasse,1,3012655,241,OK
Spitalgasse,147,Spitalgasse,1,3012655,242,OK
Spitalgasse,146,Bärenplatz,2,3012655,243,OK
Spitalgasse,147,Bärenplatz,2,3012655,244,OK
Spitalgasse,148,Spitalgasse,3,3012655,245,OK
Spitalgasse,149a,Spitalgasse,5,3012655,246,Unbekannte Hausnummer
Spitalgasse,149b,Spitalgasse,5a,3012655,247,Unbekannte Hausnummer
Spitalgasse,150a,Spitalgasse,7,3012655,248,Unbekannte Hausnummer
Spitalgasse,150b,Spitalgasse,7a,3012655,249,Unbekannte Hausnummer
Spitalgasse,151a,Spitalgasse,9,3012655,250,OK
Spitalgasse,151b,Spitalgasse,9a,3012655,251,Unbekannte Hausnummer
Spitalgasse,152a,Spitalgasse,11,3012655,252,Unbekannte Hausnummer
Spitalgasse,152b,Spitalgasse,11a,3012655,253,Unbekannte Hausnummer
Spitalgasse,153a,Spitalgasse,13,3012655,254,Unbekannte Hausnummer
Spitalgasse,153b,Spitalgasse,13a,3012655,255,Unbekannte Hausnummer
Spitalgasse,154a,Spitalgasse,15,3012655,256,Unbekannte Hausnummer
Spitalgasse,154b,Schauplatzgasse,8,3012655,257,OK
Spitalgasse,155a,Spitalgasse,17,3012655,258,OK
Spitalgasse,156a,Spitalgasse,19,3012656,259,Unbekannte Hausnummer
Spitalgasse,157a,Spitalgasse,21,3012656,260,Unbekannte Hausnummer
Spitalgasse,157b,Spitalgasse,21a,3012656,261,Unbekannte Hausnummer
Spitalgasse,158,Spitalgasse,23,3012656,262,OK
Spitalgasse,159,Spitalgasse,25,3012656,263,Unbekannte Hausnummer
Spitalgasse,159,Storchengässchen,3,3012656,264,Unbekannte Hausnummer
Spitalgasse,160,Spitalgasse,27,3012656,265,OK
Spitalgasse,160,Storchengässchen,2,3012656,266,OK
Spitalgasse,161,Spitalgasse,29,3012656,267,OK
Spitalgasse,162,Spitalgasse,31,3012656,268,Unbekannte Hausnummer
Spitalgasse,163a,Spitalgasse,31a,3012656,269,Unbekannte Hausnummer
Spitalgasse,163b,Spitalgasse,31a,3012656,270,Unbekannte Hausnummer
Spitalgasse,164a,Spitalgasse,33,3012656,271,OK
Spitalgasse,164b,Schauplatzgasse,24,3012656,272,Unbekannte Hausnummer
Spitalgasse,165,Spitalgasse,35,3012656,273,OK
Spitalgasse,166,Spitalgasse,37,3012656,274,OK
Spitalgasse,167,Spitalgasse,37,3012656,275,OK
Spitalgasse,168,Spitalgasse,39,3012656,276,Unbekannte Hausnummer
Spitalgasse,169,Spitalgasse,41,3012656,277,Unbekannte Hausnummer
Spitalgasse,170,Spitalgasse,43,3012656,278,Unbekannte Hausnummer
Spitalgasse,171,Spitalgasse,43,3012656,279,Unbekannte Hausnummer
Spitalgasse,172,Spitalgasse,45,3012656,280,Unbekannte Hausnummer
Spitalgasse,173a,Spitalgasse,47,3012656,281,OK
Spitalgasse,173b,Schauplatzgasse,36,3012656,282,Unbekannte Hausnummer
Spitalgasse,174a,Spitalgasse,49,3012656,283,OK
Spitalgasse,174b,Schauplatzgasse,38,3012656,284,OK
Spitalgasse,175a,Spitalgasse,51,3012656,285,OK
Spitalgasse,175b,Schauplatzgasse,40,3012656,286,Unbekannte Hausnummer
Spitalgasse,176a,Spitalgasse,53,3012656,287,Unbekannte Hausnummer
Spitalgasse,176b,Schauplatzgasse,42,3012656,288,Unbekannte Hausnummer
Spitalgasse,177a,Spitalgasse,55,3012656,289,Unbekannte Hausnummer
Spitalgasse,177b,Schauplatzgasse,44,3012656,290,Unbekannte Hausnummer
Spitalgasse,178,Spitalgasse,57,3012656,291,OK
Spitalgasse,178,Christoffelplatz,1,3012656,292,Unbekannte Strasse
Christoffelgasse,179a,Christoffelplatz,3,3012656,293,Unbekannte Strasse
Christoffelgasse,179a,Christoffelgasse,2,3012656,294,OK
Christoffelgasse,179b,Christoffelgasse,4,3012656,295,OK
Christoffelgasse,179b,Bankgässchen,2,3012656,296,Unbekannte Hausnummer
Zwischen den Thoren,180a,Christoffelplatz,11,3012656,297,Unbekannte Strasse
Zwischen den Thoren,180b,Christoffelplatz,11a,3012656,298,Unbekannte Strasse
Zwischen den Thoren,181a,Christoffelplatz,9,3012656,299,Unbekannte Strasse
Zwischen den Thoren,181b,Christoffelplatz,9a,3012656,300,Unbekannte Strasse
Zwischen den Thoren,182,Christoffelplatz,7,3012656,301,Unbekannte Strasse
Zwischen den Thoren,183,Christoffelplatz,5,3012656,302,Unbekannte Strasse
Zwischen den Thoren,183,Christoffelplatz,5a,3012656,303,Unbekannte Strasse
Christoffelgasse,184a,Bankgässchen,6,3012656,304,OK
Christoffelgasse,184b,Bankgässchen,8,3012656,305,Unbekannte Hausnummer
Christoffelgasse,186e,Christoffelgasse,6,3012656,306,OK
Christoffelgasse,186e,Bundesgasse,22,3012656,307,Unbekannte Hausnummer
Christoffelgasse,186f,Christoffelgasse,6a,3012656,308,Unbekannte Hausnummer
Christoffelgasse,186f,Bankgässchen,1,3012656,309,Unbekannte Hausnummer
Bundesgasse,185a,Bundesgasse,26,3012656,310,OK
Bundesgasse,185b,Bundesgasse,28,3012656,311,OK
Bundesgasse,185c,Bundesgasse,30,3012656,312,OK
Bundesgasse,185c,Schwanengasse,13,3012656,313,Unbekannte Hausnummer
Schwanengasse,185d,Schwanengasse,11,3012656,314,OK
Bundesgasse,187a,Bundesgasse,32,3012656,315,OK
Bundesgasse,187a,Wallgasse,1,3012656,316,Unbekannte Strasse
Bundesgasse,187b,Bundesgasse,34,3012656,317,Unbekannte Hausnummer
Bundesgasse,187b,Wallgasse,3,3012656,318,Unbekannte Strasse
Bundesgasse,187c,Bundesgasse,36,3012656,319,Unbekannte Hausnummer
Bundesgasse,187c,Wallgasse,5,3012656,320,Unbekannte Strasse
Bundesgasse,187d,Bundesgasse,38,3012656,321,OK
Bundesgasse,187d,Wallgasse,7,3012656,322,Unbekannte Strasse
Bundesgasse,187e,Bundesgasse,40,3012656,323,Unbekannte Hausnummer
Bundesgasse,187e,Wallgasse,9,3012656,324,Unbekannte Strasse
Wallgasse,188a,Wallgasse,8,3012656,325,Unbekannte Strasse
Wallgasse,188b,Wallgasse,6,3012656,326,Unbekannte Strasse
Wallgasse,188c,Wallgasse,4,3012656,327,Unbekannte Strasse
Hirschengraben,189a,Hirschengraben,9,3012657,328,OK
Hirschengraben,189b,Hirschengraben,7,3012657,329,OK
Hirschengraben,189c,Hirschengraben,5,3012657,330,OK
Hirschengraben,189d,Hirschengraben,3,3012657,331,OK
Schwanengasse,190a,Schwanengasse,10,3012657,332,OK
Schwanengasse,190a,Wallgasse,2,3012657,333,Unbekannte Strasse
Schwanengasse,190b,Schwanengasse,8,3012657,334,OK
Schwanengasse,190c,Schwanengasse,6,3012657,335,OK
Schwanengasse,190d,Schwanengasse,4,3012657,336,OK
Schwanengasse,190e,Schwanengasse,2,3012657,337,OK
Schwanengasse,190e,Christoffelplatz,13,3012657,338,Unbekannte Strasse
Schauplatzgasse,191,Schauplatzgasse,34,3012657,339,Unbekannte Hausnummer
Schauplatzgasse,192,Schauplatzgasse,32,3012657,340,Unbekannte Hausnummer
Schauplatzgasse,193,Schauplatzgasse,32a,3012657,341,Unbekannte Hausnummer
Schauplatzgasse,194,Schauplatzgasse,30,3012657,342,Unbekannte Hausnummer
Schauplatzgasse,195,Schauplatzgasse,28,3012657,343,Unbekannte Hausnummer
Schauplatzgasse,196,Schauplatzgasse,26,3012657,344,OK
Schauplatzgasse,197,Schauplatzgasse,22,3012657,345,OK
Schauplatzgasse,198,Schauplatzgasse,20,3012657,346,Unbekannte Hausnummer
Schauplatzgasse,198,Storchengässchen,4,3012657,347,Unbekannte Hausnummer
Schauplatzgasse,199a,Schauplatzgasse,18,3012657,348,Unbekannte Hausnummer
Schauplatzgasse,199b,Storchengässchen,6,3012657,349,OK
Schauplatzgasse,200a,Schauplatzgasse,16,3012657,350,OK
Schauplatzgasse,200a,Storchengässchen,7,3012657,351,Unbekannte Hausnummer
Schauplatzgasse,200b,Schauplatzgasse,14,3012657,352,Unbekannte Hausnummer
Schauplatzgasse,200c,Schauplatzgasse,6,3012657,353,Unbekannte Hausnummer
Schauplatzgasse,200d,Schauplatzgasse,4,3012657,354,OK
Schauplatzgasse,206,Schauplatzgasse,3,3012657,355,Unbekannte Hausnummer
Schauplatzgasse,207,Schauplatzgasse,5,3012657,356,OK
Schauplatzgasse,208,Schauplatzgasse,7,3012657,357,OK
Schauplatzgasse,209a,Schauplatzgasse,9,3012657,358,OK
Schauplatzgasse,209b,Schauplatzgasse,9,3012657,359,OK
Schauplatzgasse,210,Schauplatzgasse,11,3012657,360,OK
Schauplatzgasse,211a,Schauplatzgasse,13,3012657,361,Unbekannte Hausnummer
Schauplatzgasse,211b,Schauplatzgasse,13a,3012657,362,Unbekannte Hausnummer
Schauplatzgasse,212a,Schauplatzgasse,15,3012657,363,Unbekannte Hausnummer
Schauplatzgasse,212b,Schauplatzgasse,15a,3012657,364,Unbekannte Hausnummer
Schauplatzgasse,213a,Schauplatzgasse,17,3012657,365,Unbekannte Hausnummer
Schauplatzgasse,213b,Schauplatzgasse,17a,3012657,366,Unbekannte Hausnummer
Schauplatzgasse,214a,Schauplatzgasse,19,3012657,367,Unbekannte Hausnummer
Schauplatzgasse,214b,Schauplatzgasse,19a,3012657,368,Unbekannte Hausnummer
Schauplatzgasse,215,Schauplatzgasse,21,3012657,369,OK
Schauplatzgasse,216a,Schauplatzgasse,23,3012657,370,OK
Schauplatzgasse,216b,Schauplatzgasse,23a,3012657,371,Unbekannte Hausnummer
Schauplatzgasse,217a,Schauplatzgasse,25,3012657,372,Unbekannte Hausnummer
Schauplatzgasse,217b,Schauplatzgasse,25a,3012657,373,Unbekannte Hausnummer
Schauplatzgasse,217c,Schauplatzgasse,25b,3012657,374,Unbekannte Hausnummer
Schauplatzgasse,218,Schauplatzgasse,27,3012657,375,OK
Schauplatzgasse,219a,Schauplatzgasse,29a,3012657,376,Unbekannte Hausnummer
Schauplatzgasse,219b,Schauplatzgasse,29,3012657,377,OK
Schauplatzgasse,220,Schauplatzgasse,31,3012657,378,OK
Schauplatzgasse,221,Schauplatzgasse,33,3012657,379,OK
Schauplatzgasse,221,Gurtengasse,1,3012657,380,OK
Gurtengasse,222a,Gurtengasse,3,3012657,381,OK
Gurtengasse,222b,Gurtengasse,4a,3012657,382,Unbekannte Hausnummer
Gurtengasse,222b,Gurtengasse,3a,3012657,383,Unbekannte Hausnummer
