Strasse,Hausnummer,PLZ,Ort,EGID,Breitengrad,Längengrad,Bau,Abbruch
Aberlistrasse,54,3006,Bern,1238717,46.9452430,7.4777476,,
Aberlistrasse,56,3006,Bern,1238077,46.9452895,7.4782633,,
Aberlistrasse,57,3006,Bern,1238078,46.9457333,7.4782974,,
Aberlistrasse,58,3006,Bern,1238079,46.9453390,7.4785531,,
Aberlistrasse,59,3006,Bern,1238080,46.9457699,7.4786474,,
Aberlistrasse,59a,3006,Bern,192059196,46.9458206,7.4785714,2008-01,
Aberlistrasse,60,3006,Bern,1238081,46.9453498,7.4789171,,
Aberlistrasse,62,3006,Bern,2244397,46.9454209,7.4792574,,
Aberlistrasse,62a,3006,Bern,504009673,46.9451708,7.4792351,1961,
Aebistrasse,1,3012,Bern,1232478,46.9527115,7.4274708,,
Aebistrasse,2,3012,Bern,1232467,46.9529104,7.4275721,,
Aebistrasse,3,3012,Bern,1232479,46.9527420,7.4273875,,
Aebistrasse,5,3012,Bern,1232480,46.9527754,7.4273107,,
Aebistrasse,6,3012,Bern,504013622,46.9530828,7.4275014,1929,
Aebistrasse,7,3012,Bern,1232481,46.9528238,7.4272211,,
Aebistrasse,9,3012,Bern,1232482,46.9528664,7.4271079,,
Aebistrasse,10,3012,Bern,1232483,46.9530535,7.4272429,,
Aebistrasse,11,3012,Bern,1232484,46.9529180,7.4270150,,
Aebistrasse,14,3012,Bern,1232447,46.9532150,7.4268758,,
Aebistrasse,15,3012,Bern,1232448,46.9530432,7.4266750,,
Aebistrasse,16,3012,Bern,1232449,46.9532665,7.4267321,,
Aebistrasse,17,3012,Bern,1232450,46.9530955,7.4265214,,
Aebistrasse,18,3012,Bern,1232451,46.9533172,7.4265867,,
Aebistrasse,19,3012,Bern,1232452,46.9531467,7.4263688,,
Aebistrasse,20,3012,Bern,1232453,46.9533686,7.4264356,,
Aegertenstrasse,1,3005,Bern,1236133,46.9417768,7.4483226,,
Aegertenstrasse,6,3005,Bern,1236134,46.9420946,7.4480165,,
Aegertenstrasse,7,3005,Bern,1236135,46.9413904,7.4481605,,
Aegertenstrasse,9,3005,Bern,1236136,46.9413495,7.4481464,,
Aegertenstrasse,11,3005,Bern,1236154,46.9411316,7.4481286,,
Aegertenstrasse,13,3005,Bern,1236137,46.9411343,7.4482701,,
Aegertenstrasse,18,3005,Bern,1236138,46.9413645,7.4477481,,
Aegertenstrasse,19,3005,Bern,504009672,46.9405981,7.4477742,,
Aegertenstrasse,22,3005,Bern,1236139,46.9410616,7.4476756,,
Aegertenstrasse,46,3005,Bern,1236048,46.9395485,7.4469348,,
Aegertenstrasse,46a,3005,Bern,504013621,46.9397544,7.4462790,1926,
Aegertenstrasse,47,3005,Bern,1236213,46.9391950,7.4475965,,
Aegertenstrasse,47a,3005,Bern,504009671,46.9391439,7.4475216,,
Aegertenstrasse,48,3005,Bern,1236214,46.9391163,7.4473031,,
Aegertenstrasse,49,3005,Bern,1236215,46.9390983,7.4475935,,
Aegertenstrasse,52,3005,Bern,1236216,46.9385557,7.4472878,,
Aegertenstrasse,53,3005,Bern,1236292,46.9385771,7.4476098,,
Aegertenstrasse,54,3005,Bern,1236217,46.9384909,7.4472695,,
Aegertenstrasse,55,3005,Bern,1236293,46.9383580,7.4475689,,
Aegertenstrasse,56,3005,Bern,1236218,46.9384110,7.4472866,,
Aegertenstrasse,57,3005,Bern,1236294,46.9382546,7.4475649,,
Aegertenstrasse,59,3005,Bern,1236295,46.9381722,7.4475633,,
Aegertenstrasse,59a,3005,Bern,1236296,46.9381663,7.4478983,,
Aegertenstrasse,61,3005,Bern,1236297,46.9379227,7.4478008,,
Aegertenstrasse,62,3005,Bern,1236298,46.9377570,7.4472039,,
Aegertenstrasse,63,3005,Bern,1236299,46.9378373,7.4477982,,
Aegertenstrasse,64,3005,Bern,1236243,46.9377570,7.4470399,,
Aegertenstrasse,65,3005,Bern,1236300,46.9376677,7.4477888,,
Aegertenstrasse,65a,3005,Bern,504013620,46.9377025,7.4478293,1956,
Aegertenstrasse,65p,3005,Bern,504009670,46.9375367,7.4475053,1918,
Aegertenstrasse,66,3005,Bern,1236244,46.9377604,7.4468978,,
Aegertenstrasse,68,3005,Bern,1236253,46.9373006,7.4471905,,
Aegertenstrasse,69,3005,Bern,1236313,46.9373561,7.4475344,,
Aegertenstrasse,71,3005,Bern,1236314,46.9372733,7.4475337,,
Aegertenstrasse,73,3005,Bern,1236315,46.9371782,7.4475293,,
Aegertenstrasse,75,3005,Bern,1236316,46.9371014,7.4475278,,
Aegertenstrasse,75a,3005,Bern,504013619,46.9371056,7.4477313,1951,
Aegertenstrasse,77,3005,Bern,1236317,46.9369278,7.4475194,,
Aegertenstrasse,79,3005,Bern,1236318,46.9368668,7.4475161,,
Aegertenstrasse,81,3005,Bern,1236319,46.9367465,7.4475613,,
Aegertenstrasse,81a,3005,Bern,504009669,46.9369441,7.4474490,,
Aehrenweg,15,3027,Bern,1243669,46.9498230,7.3987600,,
Aehrenweg,16,3027,Bern,1243686,46.9499852,7.3984222,,
Aehrenweg,16a,3027,Bern,504013618,46.9499021,7.3983347,1965,
Aehrenweg,17,3027,Bern,191304592,46.9497415,7.3986019,2014-12,
Aehrenweg,18,3027,Bern,1243687,46.9499300,7.3981523,,
Aehrenweg,18a,3027,Bern,504013617,46.9498933,7.3982981,1965,
Aehrenweg,19,3027,Bern,1243670,46.9496926,7.3982250,,
Aehrenweg,19a,3027,Bern,504013616,46.9496821,7.3981065,1931,
Aehrenweg,20,3027,Bern,1243688,46.9498204,7.3977581,,
Aehrenweg,20a,3027,Bern,192048523,46.9499390,7.3977960,,
Aehrenweg,20a,3027,Bern,504013615,46.9499182,7.3977357,1946-12,2024
Aehrenweg,21,3027,Bern,1243671,46.9496365,7.3979772,,
Aehrenweg,21a,3027,Bern,504013614,46.9494942,7.3979973,,
Aehrenweg,21b,3027,Bern,504013613,46.9496577,7.3980842,1949,
Aehrenweg,22,3027,Bern,1243689,46.9497228,7.3973918,,
Aehrenweg,23,3027,Bern,1243672,46.9496091,7.3978597,,
Aehrenweg,23a,3027,Bern,504013612,46.9494893,7.3979716,1912,
Aehrenweg,24,3027,Bern,1243690,46.9497090,7.3973292,,
Aehrenweg,25,3027,Bern,1243673,46.9494638,7.3971652,,
Aehrenweg,26,3027,Bern,1243691,46.9496967,7.3972621,,
Aehrenweg,27,3027,Bern,1243674,46.9494411,7.3969461,,
Aehrenweg,27a,3027,Bern,504013611,46.9494534,7.3967408,1951,
Aehrenweg,28,3027,Bern,1243692,46.9496575,7.3970118,,
Aehrenweg,29,3027,Bern,1243675,46.9494716,7.3964436,,
Aehrenweg,29a,3027,Bern,504013610,46.9494578,7.3966813,1951,
Aehrenweg,30,3027,Bern,1243693,46.9496528,7.3969341,,
Aehrenweg,31,3027,Bern,1243676,46.9494885,7.3962175,,
Aehrenweg,32,3027,Bern,1243694,46.9496483,7.3968497,,
Aehrenweg,33,3027,Bern,1243677,46.9495023,7.3959958,,
Ahornweg,1,3012,Bern,1231973,46.9537427,7.4349200,,
Ahornweg,1a,3012,Bern,1231974,46.9538313,7.4350267,,
Ahornweg,2,3012,Bern,1231966,46.9539038,7.4346857,,
Ahornweg,3,3012,Bern,1231975,46.9539211,7.4351364,,
Ahornweg,4,3012,Bern,1231967,46.9540104,7.4348173,,
Ahornweg,5,3012,Bern,1231976,46.9540255,7.4352663,,
Ahornweg,6,3012,Bern,1231997,46.9541844,7.4350277,,
Ahornweg,7,3012,Bern,1231977,46.9541485,7.4354158,,
Ahornweg,9,3012,Bern,1231978,46.9542600,7.4355580,,
Ahornweg,11,3012,Bern,1231979,46.9543558,7.4356678,,
Alemannenstrasse,15,3018,Bern,504009668,46.9430444,7.3958429,1969,
Alemannenstrasse,40,3018,Bern,1242094,46.9425906,7.3954034,,
Alemannenstrasse,41,3018,Bern,504013609,46.9424569,7.3946414,1949,
Alemannenstrasse,41a,3018,Bern,504013608,46.9424277,7.3947440,1949,
Alemannenstrasse,41b,3018,Bern,504013607,46.9423999,7.3948465,1949,
Alemannenstrasse,42,3018,Bern,1242095,46.9425964,7.3949360,,
Alemannenstrasse,43,3018,Bern,1242102,46.9422726,7.3941907,,
Alemannenstrasse,44,3018,Bern,1242096,46.9427476,7.3950721,,
Alemannenstrasse,45,3018,Bern,1242103,46.9423865,7.3942549,,
Alemannenstrasse,46,3018,Bern,1242097,46.9426861,7.3944875,,
Alemannenstrasse,47,3018,Bern,1242098,46.9425270,7.3943402,,
Alemannenstrasse,48,3018,Bern,1242099,46.9428223,7.3945971,,
Alemannenstrasse,50,3018,Bern,1242100,46.9429564,7.3947264,,
Alexandraweg,2,3006,Bern,1237313,46.9351479,7.4721965,,
Alexandraweg,2a,3006,Bern,504013602,46.9350479,7.4723147,1933,
Alexandraweg,4,3006,Bern,2241775,46.9349852,7.4723042,,
Alexandraweg,6,3006,Bern,1237314,46.9348348,7.4724995,,
Alexandraweg,7,3006,Bern,1237315,46.9350756,7.4726896,,
Alexandraweg,7a,3006,Bern,504013599,46.9351068,7.4725575,1940,
Alexandraweg,9,3006,Bern,1237316,46.9349449,7.4729439,,
Alexandraweg,16,3006,Bern,1237351,46.9343281,7.4730098,,
Alexandraweg,16a,3006,Bern,191973349,46.9341942,7.4731203,2020,
Alexandraweg,20,3006,Bern,1237352,46.9340320,7.4731786,,
Alexandraweg,20a,3006,Bern,504013606,46.9339986,7.4729020,1910,
Alexandraweg,20b,3006,Bern,504013605,46.9339599,7.4729390,1935,
Alexandraweg,22,3006,Bern,1237387,46.9338717,7.4734454,,
Alexandraweg,22a,3006,Bern,504013604,46.9338544,7.4729402,1968,
Alexandraweg,22b,3006,Bern,504013603,46.9335252,7.4737559,1967,
Alexandraweg,24,3006,Bern,1237388,46.9333087,7.4737516,,
Alexandraweg,30,3006,Bern,1237278,46.9338130,7.4741435,,
Alexandraweg,30a,3006,Bern,504013601,46.9337870,7.4742260,1959,
Alexandraweg,31,3006,Bern,190159653,46.9340086,7.4737804,2007,
Alexandraweg,31a,3006,Bern,504009667,46.9340290,7.4735584,2008,
Alexandraweg,32,3006,Bern,1237279,46.9337001,7.4744345,1970-05,2022
Alexandraweg,32a,3006,Bern,191848594,46.9338085,7.4745619,1926,
Alexandraweg,32b,3006,Bern,192045923,46.9335649,7.4741113,,
Alexandraweg,33,3006,Bern,190159655,46.9341557,7.4740461,2007,
Alexandraweg,34,3006,Bern,1237280,46.9340380,7.4745313,,
Alexandraweg,34a,3006,Bern,504013600,46.9339087,7.4743135,1978,
Alexandraweg,35,3006,Bern,190159658,46.9342815,7.4743354,2007,
Alexandraweg,37,3006,Bern,1237281,46.9343838,7.4746270,,
Alleeweg,1,3006,Bern,1237516,46.9395328,7.4710838,,
Alleeweg,2,3006,Bern,1237517,46.9394982,7.4714209,,
Alleeweg,3,3006,Bern,1237518,46.9396832,7.4712267,,
Alleeweg,4,3006,Bern,1237519,46.9395553,7.4714930,,
Alleeweg,5,3006,Bern,1237520,46.9396891,7.4712399,,
Alleeweg,6,3006,Bern,1237521,46.9395869,7.4715731,,
Alleeweg,7,3006,Bern,1237522,46.9397360,7.4713442,,
Alleeweg,8,3006,Bern,1237523,46.9396203,7.4716583,,
Alleeweg,9,3006,Bern,1237524,46.9398239,7.4715396,,
Alleeweg,9a,3006,Bern,504013587,46.9397249,7.4715665,1930,
Alleeweg,10,3006,Bern,1237525,46.9396544,7.4717457,,
Alleeweg,11,3006,Bern,1237526,46.9398298,7.4715528,,
Alleeweg,11a,3006,Bern,1237527,46.9399432,7.4717035,,
Alleeweg,12,3006,Bern,1237551,46.9397318,7.4720188,,
Alleeweg,12a,3006,Bern,504013598,46.9394800,7.4722792,1921,
Alleeweg,12b,3006,Bern,504013597,46.9396084,7.4722106,1960,
Alleeweg,13,3006,Bern,1237552,46.9400261,7.4718156,,
Alleeweg,13a,3006,Bern,504013596,46.9398867,7.4720509,1931,
Alleeweg,14,3006,Bern,1237553,46.9398104,7.4722487,1900-02,
Alleeweg,15,3006,Bern,2241789,46.9401054,7.4719916,1920,
Alleeweg,15a,3006,Bern,504013594,46.9399010,7.4720871,1931,
Alleeweg,16,3006,Bern,1237554,46.9399910,7.4725818,,
Alleeweg,16a,3006,Bern,504013593,46.9399083,7.4723933,,
Alleeweg,17,3006,Bern,1237555,46.9401307,7.4722870,,
Alleeweg,18,3006,Bern,1237556,46.9399792,7.4727959,,
Alleeweg,19,3006,Bern,1237557,46.9403514,7.4724999,,
Alleeweg,19a,3006,Bern,504013592,46.9401843,7.4726741,1984,
Alleeweg,21,3006,Bern,1237558,46.9404459,7.4727688,,
Alleeweg,21a,3006,Bern,191829214,46.9404025,7.4726119,,
Alleeweg,22,3006,Bern,1237559,46.9402264,7.4731343,,
Alleeweg,23,3006,Bern,1237560,46.9405510,7.4730191,1972,
Alleeweg,23a,3006,Bern,504013591,46.9403977,7.4732040,1935,
Alleeweg,24,3006,Bern,1237561,46.9402426,7.4731723,,
Alleeweg,25,3006,Bern,1237562,46.9405274,7.4733209,,
Alleeweg,25a,3006,Bern,504013590,46.9404171,7.4732479,1935,
Alleeweg,26,3006,Bern,1237563,46.9403552,7.4734381,,
Alleeweg,26a,3006,Bern,504013589,46.9402957,7.4732959,1957,
Alleeweg,28,3006,Bern,1237580,46.9404271,7.4738477,,
Alleeweg,29,3006,Bern,1237581,46.9406792,7.4736659,,
Alleeweg,30,3006,Bern,1237582,46.9404411,7.4738883,,
Alleeweg,31,3006,Bern,1237583,46.9407517,7.4738431,,
Alleeweg,31a,3006,Bern,192062693,46.9407455,7.4737451,,
Alleeweg,31a,3006,Bern,504013588,46.9407063,7.4737582,2004,
Alleeweg,32,3006,Bern,1237584,46.9404813,7.4740051,,
Alleeweg,33,3006,Bern,1237585,46.9407666,7.4738827,,
Alleeweg,34,3006,Bern,1237586,46.9404953,7.4740456,,
Alleeweg,35,3006,Bern,1237587,46.9408482,7.4741687,,
Alleeweg,36,3006,Bern,1237588,46.9405330,7.4741550,,
Alleeweg,38,3006,Bern,1237589,46.9405494,7.4742027,,
Alleeweg,40,3006,Bern,1237590,46.9405766,7.4742815,,
Allmendstrasse,1,3014,Bern,1239580,46.9576324,7.4527988,,
Allmendstrasse,2,3013,Bern,191768531,,,2018-12,2019
Allmendstrasse,2,3014,Bern,1239571,46.9577184,7.4530779,,2019
Allmendstrasse,2,3014,Bern,191768571,46.9577818,7.4530473,2018-12,
Allmendstrasse,2a,3013,Bern,191768292,,,2018-12,2019
Allmendstrasse,2a,3014,Bern,191833035,46.9576699,7.4530457,,
Allmendstrasse,3,3014,Bern,1239572,46.9577913,7.4526887,,
Allmendstrasse,5,3014,Bern,1240540,46.9579906,7.4522125,,
Allmendstrasse,5a,3014,Bern,504009664,46.9579782,7.4521496,1988,
Allmendstrasse,7,3014,Bern,1240541,46.9581233,7.4522590,,
Allmendstrasse,8,3014,Bern,1240692,46.9583130,7.4527485,,
Allmendstrasse,9,3014,Bern,1240542,46.9582930,7.4522556,,
Allmendstrasse,10,3014,Bern,190279128,46.9584684,7.4526506,2007,
Allmendstrasse,10a,3014,Bern,504009666,46.9585492,7.4526253,,
Allmendstrasse,11,3014,Bern,1240543,46.9584768,7.4521909,,
Allmendstrasse,12,3014,Bern,1240690,46.9587203,7.4525267,,
Allmendstrasse,14,3014,Bern,1240584,46.9589408,7.4523192,,
Allmendstrasse,15,3014,Bern,3034798,46.9587876,7.4519184,,
Allmendstrasse,17,3014,Bern,3034799,46.9589492,7.4518073,,
Allmendstrasse,17a,3014,Bern,504009665,46.9590447,7.4515789,1997,
Allmendstrasse,21,3014,Bern,9081655,46.9592364,7.4516153,1985,
Allmendstrasse,24,3014,Bern,2241796,46.9594176,7.4518565,,
Allmendstrasse,26,3014,Bern,1240610,46.9596896,7.4517374,,
Allmendstrasse,27,3014,Bern,1240545,46.9595535,7.4514788,,
Allmendstrasse,28,3014,Bern,1240611,46.9598188,7.4515641,,
Allmendstrasse,29,3014,Bern,1240546,46.9596960,7.4513807,,
Allmendstrasse,30,3014,Bern,1240612,46.9600436,7.4514099,,
Allmendstrasse,33,3014,Bern,1240571,46.9598429,7.4512256,,
Allmendstrasse,34,3014,Bern,1240613,46.9601973,7.4513883,,
Allmendstrasse,35,3014,Bern,1240572,46.9600030,7.4511618,,
Allmendstrasse,35a,3014,Bern,504013586,46.9600437,7.4510674,1948,
Allmendstrasse,36,3014,Bern,1240626,46.9604731,7.4511351,,
Allmendstrasse,38,3014,Bern,1240627,46.9607338,7.4510545,,
Allmendstrasse,39,3014,Bern,1240573,46.9604651,7.4508511,,
Allmendstrasse,40,3014,Bern,1240628,46.9607414,7.4510783,,
Allmendstrasse,42,3014,Bern,1240629,46.9607945,7.4512424,,
Allmendstrasse,42a,3014,Bern,1240630,46.9608022,7.4512661,,
Allmendstrasse,44,3014,Bern,1240656,46.9610039,7.4512242,,
Allmendstrasse,46,3014,Bern,1240657,46.9609011,7.4509829,,
Allmendstrasse,48,3014,Bern,1240658,46.9609479,7.4507920,,
Allmendstrasse,50,3014,Bern,1240659,46.9609643,7.4507807,,
Allmendstrasse,51,3014,Bern,1240771,46.9613392,7.4500949,,
Allmendstrasse,54,3014,Bern,1240772,46.9613278,7.4504924,,
Alpeneggstrasse,1,3012,Bern,1232154,46.9521293,7.4386698,,
Alpeneggstrasse,5,3012,Bern,1232081,46.9525666,7.4382611,,
Alpeneggstrasse,5a,3012,Bern,504013579,46.9521997,7.4380508,1891,
Alpeneggstrasse,5b,3012,Bern,504013578,46.9526411,7.4381714,1996,
Alpeneggstrasse,7,3012,Bern,1232082,46.9527868,7.4380546,,
Alpeneggstrasse,7a,3012,Bern,504013577,46.9526787,7.4377694,1960,
Alpeneggstrasse,8,3012,Bern,1232061,46.9528410,7.4383876,,
Alpeneggstrasse,9,3012,Bern,1232083,46.9526096,7.4376746,,
Alpeneggstrasse,10,3012,Bern,1232062,46.9531164,7.4381083,,
Alpeneggstrasse,11,3012,Bern,1232084,46.9527801,7.4372444,,
Alpeneggstrasse,11a,3012,Bern,504013585,46.9527431,7.4370870,1925,
Alpeneggstrasse,14,3012,Bern,1232063,46.9534813,7.4380547,,
Alpeneggstrasse,14a,3012,Bern,504013584,46.9535661,7.4382650,1850,
Alpeneggstrasse,15,3012,Bern,1232085,46.9528435,7.4373158,,
Alpeneggstrasse,15a,3012,Bern,504013583,46.9529202,7.4372991,1926,
Alpeneggstrasse,17,3012,Bern,2241804,46.9531106,7.4376874,,
Alpeneggstrasse,17c,3012,Bern,504013582,46.9529902,7.4373879,1952,
Alpeneggstrasse,18,3012,Bern,1232064,46.9538047,7.4381598,,
Alpeneggstrasse,18a,3012,Bern,191908782,46.9537509,7.4380977,,
Alpeneggstrasse,18b,3012,Bern,191908783,46.9536092,7.4381324,1900,
Alpeneggstrasse,19,3012,Bern,1232065,46.9536180,7.4377571,,
Alpeneggstrasse,19a,3012,Bern,504013581,46.9537047,7.4376480,1910,
Alpeneggstrasse,19b,3012,Bern,504013580,46.9536244,7.4375399,1933,
Alpeneggstrasse,21,3012,Bern,1232066,46.9538791,7.4378201,,
Alpeneggstrasse,22,3012,Bern,1232067,46.9540493,7.4381786,,
Alpenstrasse,4,3006,Bern,1236542,46.9436439,7.4560778,,
Alpenstrasse,5,3006,Bern,1236543,46.9435200,7.4556012,,
Alpenstrasse,7,3006,Bern,1236544,46.9433327,7.4559114,,
Alpenstrasse,9,3006,Bern,1236545,46.9432466,7.4560250,,
Alpenstrasse,11,3006,Bern,1236546,46.9432274,7.4560485,,
Alpenstrasse,13,3006,Bern,1236547,46.9431334,7.4561529,,
Alpenstrasse,15,3006,Bern,1236548,46.9430245,7.4562656,,
Alpenstrasse,16,3006,Bern,504009663,46.9429379,7.4567423,,
Alpenstrasse,17,3006,Bern,1236575,46.9427578,7.4567172,,
Alpenstrasse,19,3006,Bern,1236576,46.9427055,7.4567802,,
Alpenstrasse,19a,3006,Bern,1236577,46.9425703,7.4569426,,
Alpenstrasse,21,3006,Bern,1236578,46.9425180,7.4570054,,
Alpenstrasse,23,3006,Bern,1236579,46.9422038,7.4573274,,
Alpenstrasse,23a,3006,Bern,504013576,46.9420902,7.4574969,1936,
Alpenstrasse,24,3006,Bern,1236563,46.9424545,7.4575018,,
Alpenstrasse,24a,3006,Bern,504009662,46.9424034,7.4575526,,
Alpenstrasse,25,3006,Bern,1236580,46.9419651,7.4575764,,
Alpenstrasse,26,3006,Bern,2241809,46.9422509,7.4576377,1910,
Alpenstrasse,26a,3006,Bern,504013575,46.9423794,7.4575752,1944,
Alpenstrasse,27,3006,Bern,1236581,46.9418884,7.4576684,,
Alpenstrasse,27a,3006,Bern,504013574,46.9418365,7.4578030,1951,
Alpenstrasse,27p,3006,Bern,504013573,46.9419442,7.4576839,,2024
Alpenstrasse,29,3006,Bern,504013572,46.9417080,7.4578631,1910,
Alpenstrasse,29a,3006,Bern,504013571,46.9416245,7.4580749,1924,
Alpenstrasse,30,3006,Bern,1236495,46.9419162,7.4581357,,
Alpenstrasse,32,3006,Bern,191648372,46.9417475,7.4583528,1903,
Alpenstrasse,32a,3006,Bern,504013570,46.9416891,7.4582483,,
Alpenstrasse,33,3006,Bern,1236582,46.9414778,7.4580019,,
Alpenstrasse,33a,3006,Bern,504013569,46.9414126,7.4583126,1949,
Alpenstrasse,35,3006,Bern,1236662,46.9412601,7.4584355,,
Alpenstrasse,35a,3006,Bern,504013568,46.9413487,7.4583926,1926,
Altenbergrain,4,3013,Bern,1239213,46.9511071,7.4475087,,
Altenbergrain,4a,3013,Bern,504009657,46.9508766,7.4480025,1980,
Altenbergrain,16,3013,Bern,1239214,46.9526916,7.4459929,,
Altenbergrain,18,3013,Bern,1239215,46.9527081,7.4459768,,
Altenbergrain,18a,3013,Bern,504013567,46.9529054,7.4458983,1940,
Altenbergrain,18b,3013,Bern,504013566,46.9529991,7.4459583,1980,
Altenbergrain,21,3013,Bern,1239256,46.9535811,7.4451928,1900,
Altenbergrain,21a,3013,Bern,504013565,46.9520582,7.4452623,1990,
Altenbergrain,21b,3013,Bern,504013564,46.9538359,7.4452064,1880,
Altenbergrain,21c,3013,Bern,504013563,46.9533396,7.4454136,1900,
Altenbergrain,21d,3013,Bern,504013562,46.9533788,7.4452948,1900,
Altenbergrain,21e,3013,Bern,504013561,46.9534509,7.4450764,1900,
Altenbergrain,21f,3013,Bern,504013560,46.9534897,7.4449580,1900,
Altenbergrain,21g,3013,Bern,504013559,46.9536433,7.4449601,1951,
Altenbergrain,21h,3013,Bern,504013558,46.9536326,7.4454984,1900,
Altenbergrain,21j,3013,Bern,504009661,46.9539893,7.4454127,2000,
Altenbergrain,21k,3013,Bern,191668765,46.9524216,7.4446981,1927,
Altenbergrain,21l,3013,Bern,191844102,46.9538110,7.4452989,1998,
Altenbergrain,21m,3013,Bern,504013557,46.9520840,7.4456010,,
Altenbergrain,21n,3013,Bern,504013556,46.9524334,7.4456204,1972,
Altenbergrain,21o,3013,Bern,504009660,46.9522071,7.4454250,,
